Order ID,Order Date,Product,Category,Quantity,Unit Price,Customer State,Payment Method,Order Status
ORD-3177,7/18/2026,Gym Towel,Fitness,1,,TX,Debit Card,Delivered
ORD-3161,2/6/2026,Laptop Sleeve,Office,1,,GA,Credit Card,Delivered
ORD-3218,7/10/2026,Sticky Note Set,Office,1,7.99,OH,Debit Card,Shipped
ORD-3187,6/14/2026,Sticky Note Set,Office,1,7.99,VA,Credit Card,Delivered
ORD-3136,6/11/2026,Sticky Note Set,Office,1,7.99,CA,PayPal,Delivered
ORD-3132,3/29/2026,Sticky Note Set,Office,1,7.99,NY,Debit Card,Delivered
ORD-3269,1/12/2026,Sticky Note Set,Office,1,7.99,FL,Debit Card,Delivered
ORD-3074,1/8/2026,Sticky Note Set,Home,1,7.99,NC,Credit Card,Delivered
ORD-3283,1/6/2026,Sticky Note Set,Office,1,7.99,PA,Debit Card,Delivered
ORD-3184,8/29/2026,Sticky Note Set,Office,2,7.99,NJ,PayPal,Delivered
ORD-3001,7/21/2026,Sticky Note Set,Office,2,7.99,IL,PayPal,Cancelled
ORD-3157,4/13/2026,Sticky Note Set,Office,2,7.99,PA,Apple Pay,Cancelled
ORD-3099,8/1/2026,Sticky Note Set,Office,3,7.99,CA,Debit Card,Cancelled
ORD-3201,4/8/2026,Sticky Note Set,Office,3,7.99,NY,Debit Card,Shipped
ORD-3053,3/2/2026,Sticky Note Set,Office,3,7.99,NJ,Credit Card,Delivered
ORD-3192,8/8/2026,Gel Pen Pack,Fitness,1,8.99,FL,Credit Card,Delivered
ORD-3196,5/24/2026,Gel Pen Pack,Office,1,8.99,TX,PayPal,Shipped
ORD-3140,4/23/2026,Gel Pen Pack,Office,1,8.99,TX,PayPal,Delivered
ORD-3190,1/24/2026,Laptop Sleeve,Office,1,8.99,OH,Credit Card,Returned
ORD-3194,1/13/2026,Throw Pillow,Home,1,8.99,OH,Apple Pay,Delivered
ORD-3288,,Gel Pen Pack,Office,1,8.99,TX,PayPal,Delivered
ORD-3050,6/24/2026,USB-C Cable,Office,2,8.99,CA,Debit Card,Shipped
ORD-3104,4/14/2026,Gel Pen Pack,Office,2,8.99,NJ,PayPal,Shipped
ORD-3219,4/5/2026,Gel Pen Pack,Office,2,8.99,TX,Debit Card,Delivered
ORD-3303,3/2/2026,Gel Pen Pack,Office,2,8.99,TX,Debit Card,Delivered
ORD-3248,5/11/2026,Gel Pen Pack,Office,3,8.99,NY,Credit Card,Delivered
ORD-3311,3/5/2026,Gel Pen Pack,Office,,8.99,VA,PayPal,Delivered
ORD-3222,5/10/2026,Gel Pen Pack,Office,,8.99,OH,PayPal,Delivered
ORD-3191,8/28/2026,Gym Towel,Fitness,1,9.50,VA,Debit Card,Delivered
ORD-3236,7/29/2026,Gym Towel,Fitness,1,9.50,VA,Credit Card,Delivered
ORD-3037,3/6/2026,Gym Towel,Fitness,1,9.50,CA,Debit Card,Delivered
ORD-3176,3/1/2026,Gym Towel,Fitness,1,9.50,OH,PayPal,Delivered
ORD-3228,2/19/2026,Gym Towel,Fitness,1,9.50,VA,Credit Card,Processing
ORD-3015,2/17/2026,Gym Towel,Electronics,1,9.50,VA,Debit Card,Delivered
ORD-3029,1/3/2026,Gym Towel,Fitness,2,9.50,OH,Credit Card,Shipped
ORD-3023,3/24/2026,Gym Towel,Fitness,3,9.50,VA,Debit Card,Shipped
ORD-3206,3/2/2026,Gym Towel,Fitness,3,9.50,PA,Debit Card,Delivered
ORD-3256,,Gym Towel,Fitness,3,9.50,IL,Credit Card,Shipped
ORD-3210,3/10/2026,Gym Towel,Fitness,4,9.50,IL,Debit Card,Processing
ORD-3168,6/12/2026,Gym Towel,Fitness,20,9.50,NY,PayPal,Delivered
ORD-3073,8/7/2026,,Office,1,11.25,CA,Credit Card,Cancelled
ORD-3156,6/14/2026,Notebook Set,Office,1,11.25,GA,Apple Pay,Delivered
ORD-3246,5/9/2026,Notebook Set,Office,1,11.25,TX,Apple Pay,Delivered
ORD-3038,2/18/2026,Notebook Set,Office,1,11.25,TX,Apple Pay,Delivered
ORD-3059,8/14/2026,Notebook Set,Office,2,11.25,NC,PayPal,Shipped
ORD-3108,7/1/2026,USB-C Cable,Electronics,1,12.99,IL,Credit Card,Delivered
ORD-3032,6/29/2026,USB-C Cable,Electronics,1,12.99,NJ,PayPal,Delivered
ORD-3143,5/24/2026,USB-C Cable,Electronics,1,12.99,MA,Apple Pay,Delivered
ORD-3314,4/8/2026,USB-C Cable,Electronics,1,12.99,NY,PayPal,Delivered
ORD-3067,2/10/2026,USB-C Cable,Electronics,1,12.99,NY,Debit Card,Delivered
ORD-3022,2/4/2026,USB-C Cable,Electronics,1,12.99,NY,Debit Card,Delivered
ORD-3019,1/24/2026,Wireless Mouse,Electronics,1,12.99,GA,PayPal,Processing
ORD-3138,8/6/2026,USB-C Cable,Electronics,2,12.99,NJ,Debit Card,Shipped
ORD-3289,7/16/2026,USB-C Cable,Electronics,2,12.99,CA,Credit Card,Cancelled
ORD-3202,4/4/2026,USB-C Cable,Electronics,2,12.99,NJ,Credit Card,Returned
ORD-3181,3/29/2026,USB-C Cable,Electronics,2,12.99,VA,PayPal,Returned
ORD-3035,2/12/2026,Wireless Mouse,Electronics,2,12.99,FL,Apple Pay,Processing
ORD-3030,1/5/2026,Tote Bag,Accessories,3,12.99,OH,Apple Pay,Delivered
ORD-3128,7/31/2026,USB-C Cable,Electronics,4,12.99,NC,Credit Card,Returned
ORD-3130,2/17/2026,USB-C Cable,Electronics,4,12.99,IL,Apple Pay,Delivered
ORD-3233,8/6/2026,Travel Pouch,Accessories,1,13.75,TX,Apple Pay,Cancelled
ORD-3169,5/8/2026,Travel Pouch,Accessories,1,13.75,FL,Debit Card,Shipped
ORD-3118,4/14/2026,Travel Pouch,Accessories,1,13.75,GA,PayPal,Processing
ORD-3242,7/28/2026,T-Shirt,Accessories,2,13.75,FL,Apple Pay,Delivered
ORD-3209,6/3/2026,Travel Pouch,Accessories,2,13.75,NC,Apple Pay,Returned
ORD-3193,5/18/2026,Travel Pouch,Accessories,2,13.75,FL,Debit Card,Delivered
ORD-3262,2/26/2026,Travel Pouch,Accessories,2,13.75,PA,PayPal,Delivered
ORD-3079,8/11/2026,Travel Pouch,Accessories,3,13.75,PA,PayPal,Delivered
ORD-3026,2/27/2026,Travel Pouch,Accessories,3,13.75,FL,Apple Pay,Delivered
ORD-3241,1/7/2026,Travel Pouch,Accessories,3,13.75,NY,Apple Pay,Delivered
ORD-3124,8/12/2026,Travel Pouch,Accessories,5,13.75,CA,Debit Card,Delivered
ORD-3146,8/31/2026,Phone Stand,Electronics,1,14.50,NJ,Apple Pay,Shipped
ORD-3020,5/29/2026,Phone Stand,Electronics,1,14.50,NJ,PayPal,Delivered
ORD-3285,7/22/2026,Phone Stand,Accessories,2,14.50,IL,PayPal,Shipped
ORD-3215,1/4/2026,Phone Stand,Electronics,2,14.50,GA,Debit Card,Delivered
ORD-3151,3/30/2026,Phone Stand,Electronics,5,14.50,NJ,PayPal,Delivered
ORD-3058,3/5/2026,Phone Stand,Electronics,,14.50,FL,PayPal,Processing
ORD-3204,3/20/2026,Phone Stand,Electronics,,14.50,GA,Debit Card,Delivered
ORD-3112,8/9/2026,Planner,Office,1,14.99,NJ,PayPal,Delivered
ORD-3225,5/18/2026,Resistance Bands,Office,1,14.99,NJ,Apple Pay,Cancelled
ORD-3123,4/28/2026,Planner,Office,1,14.99,VA,Debit Card,Delivered
ORD-3071,4/25/2026,Planner,Office,1,14.99,NY,PayPal,Cancelled
ORD-3260,4/14/2026,Planner,Clothing,1,14.99,NJ,Debit Card,Delivered
ORD-3200,4/6/2026,Planner,Office,1,14.99,MA,Credit Card,Delivered
ORD-3280,3/4/2026,Planner,Office,1,14.99,GA,Apple Pay,Processing
ORD-3004,2/10/2026,Planner,Office,1,14.99,NY,Apple Pay,Delivered
ORD-3016,1/28/2026,Planner,Office,1,14.99,NY,Credit Card,Cancelled
ORD-3182,7/17/2026,Planner,Office,2,14.99,FL,Debit Card,Delivered
ORD-3258,5/22/2026,Planner,Office,3,14.99,VA,Apple Pay,Delivered
ORD-3075,2/6/2026,Planner,Office,3,14.99,NC,Credit Card,Delivered
ORD-3286,1/14/2026,Tote Bag,Accessories,1,15.99,NJ,PayPal,Shipped
ORD-3292,8/19/2026,Tote Bag,Accessories,2,15.99,OH,PayPal,Delivered
ORD-3249,6/18/2026,Tote Bag,Accessories,2,15.99,CA,PayPal,Delivered
ORD-3126,5/29/2026,Tote Bag,Accessories,2,15.99,CA,PayPal,Cancelled
ORD-3244,5/21/2026,Tote Bag,Accessories,2,15.99,MA,Credit Card,Delivered
ORD-3011,2/27/2026,Tote Bag,Accessories,3,15.99,NJ,PayPal,Shipped
ORD-3180,2/16/2026,Tote Bag,Accessories,3,15.99,FL,Debit Card,Cancelled
ORD-3034,7/27/2026,Tote Bag,Accessories,4,15.99,GA,PayPal,Delivered
ORD-3301,4/29/2026,Tote Bag,Accessories,4,15.99,PA,Debit Card,Cancelled
,2/5/2026,Tote Bag,Accessories,4,15.99,IL,Apple Pay,Returned
ORD-3153,7/7/2026,Water Bottle,Home,1,16.99,TX,Apple Pay,Delivered
ORD-3120,1/19/2026,Water Bottle,Office,1,16.99,OH,Debit Card,Shipped
ORD-3270,1/12/2026,Water Bottle,Home,1,16.99,CA,Credit Card,Delivered
ORD-3208,8/15/2026,Water Bottle,Home,2,16.99,IL,Debit Card,Cancelled
