Order ID,Order Date,Product,Category,Quantity,Unit Price,Customer State,Payment Method,Order Status
ORD-3001,07/21/2026,Sticky Note Set,Office,2,7.99,IL,PayPal,Cancelled
ORD-3002,06/08/2026,Keyboard,Electronics,1,44.99,OH,Debit Card,Delivered
ORD-3003,03/01/2026,Water Bottle,Home,3,16.99,PA,PayPal,Delivered
ORD-3004,02/10/2026,Planner,Office,1,14.99,NY,Apple Pay,Delivered
ORD-3005,05/21/2026,Portable Charger,electronics,3,34.99,IL,PayPal,Delivered
ORD-3006,05/13/2026,Webcam,Electronics,1,49.99,MA,PayPal,Delivered
ORD-3007,2026-01-17,Storage Basket,Home,4,18.75,OH,PayPal,Processing
ORD-3008,08/01/2026,Desk Lamp,Home,1,32.00,New Jersey,PayPal,Cancelled
ORD-3009,07/13/2026,Bluetooth Speaker,Electronics,2,39.99,OH,Debit Card,Cancelled
ORD-3010,01/16/2026,Laptop Sleeve,Office,2,27.50,NC,paypal,Cancelled
ORD-3011,02/27/2026,Tote Bag,Accessories,3,15.99,NJ,PayPal,Shipped
ORD-3012,02/14/2026,Resistance Bands,Fitness,3,17.99,FL,PayPal,delivered
ORD-3013,01/24/2026,Resistance Bands,Fitness,2,17.99,NJ,Apple Pay,Delivered
ORD-3014,05/30/2026,Notebook Set,Office,2,$24.99,NY,Apple Pay,Cancelled
ORD-3015,02/17/2026,Gym Towel,ELECTRONICS,1,9.50,VA,Debit Card,Delivered
ORD-3016,01/28/2026,Planner,Office,1,14.99,NY,Credit Card,Cancelled
ORD-3017,01/12/2026,T-Shirt,Clothing,,19.99,PA,Credit Card,Shipped
ORD-3018,07/13/2026,Portable Charger,Electronics,3,34.99,CA,Debit Card,Delivered
ORD-3019,01/24/2026,wireless mouse,Electronics,1,12.99,GA,PayPal,Processing
ORD-3020,05/29/2026,Phone Stand,Electronics,1,14.50,nj,PayPal,Delivered
ORD-3021,01/09/2026,Portable Charger,Electronics,5,34.99,GA,Apple Pay,Delivered
ORD-3022,2/4/26,USB-C Cable,Electronics,1,12.99,NY,Debit Card,Delivered
ORD-3023,03/24/2026,Gym Towel,Fitness,3,9.50,VA,Debit Card,Shipped
ORD-3024,01/08/2026,Throw Pillow,Home,2,21.50,NJ,Credit Card,Delivered
ORD-3025,02/02/2026,Yoga Mat,Fitness,4,29.99,CA,PAYPAL,Delivered
ORD-3026,02/27/2026,Travel Pouch,Accessories,3,13.75,FL,Apple Pay,Delivered
ORD-3027,02/22/2026,Portable Charger,Electronics,1,34.99,NY,Credit Card,DELIVERED
ORD-3028,06/20/2026,Webcam,Electronic,1,49.99,OH,Credit Card,Delivered
ORD-3029,01/03/2026,Gym Towel,Fitness,2,9.50,OH,Credit Card,Shipped
ORD-3030,01/05/2026,Tote Bag,Accessories,3, $12.99 ,OH,Apple Pay,Delivered
