location_id,destination,date,month,max_temp_f,min_temp_f,precipitation_in,avg_humidity_pct,avg_temp_f,rain_in,rainy_day,max_wind_speed_mph,max_wind_gust_mph
0,Bangkok,2025-01-01,January,92.4,72.2,0,49,82.1,0,No,4.3,15
0,Bangkok,2025-01-02,January,92.6,71.5,0,46,82.7,0,No,6.8,18.6
0,Bangkok,2025-01-03,January,92.4,72.8,0,50,82.5,0,No,7.2,19
0,Bangkok,2025-01-04,January,92.9,72.3,0,44,82.6,0,No,4.9,14.8
0,Bangkok,2025-01-05,January,90.4,69.7,0,43,80.5,0,No,6.9,18.1
0,Bangkok,2025-01-06,January,90.4,68.9,0,42,80.2,0,No,4.8,13.9
0,Bangkok,2025-01-07,January,91.8,69.8,0,44,82,0,No,4.3,15.7
0,Bangkok,2025-01-08,January,93.4,73.1,0,43,84.3,0,No,5.4,17.4
0,Bangkok,2025-01-09,January,93,74.3,0,47,83.9,0,No,8.1,23
0,Bangkok,2025-01-10,January,87.9,71.9,0,50,80.9,0,No,9.6,26.4
0,Bangkok,2025-01-11,January,86.2,67,0,47,77.3,0,No,9.2,24.8
0,Bangkok,2025-01-12,January,84.2,65.7,0,46,74.2,0,No,7.1,16.8
0,Bangkok,2025-01-13,January,84.9,65.3,0,43,75.4,0,No,5.4,16.1
0,Bangkok,2025-01-14,January,88.6,65.3,0,42,77.9,0,No,7,16.6
0,Bangkok,2025-01-15,January,94.2,69.1,0,46,83.2,0,No,9.4,24.6
0,Bangkok,2025-01-16,January,91.2,73.8,0,48,82.5,0,No,7.9,19.9
0,Bangkok,2025-01-17,January,90.1,71.6,0,45,81,0,No,8.3,19.9
0,Bangkok,2025-01-18,January,92.8,70.2,0,40,81.5,0,No,6.1,18.8
0,Bangkok,2025-01-19,January,92.4,69.5,0,39,81.7,0,No,5,15.9
0,Bangkok,2025-01-20,January,93.5,70.7,0,42,82,0,No,3.2,12.8
0,Bangkok,2025-01-21,January,93.5,71.9,0,44,82.2,0,No,4.6,15.9
0,Bangkok,2025-01-22,January,94.4,71.8,0,43,82.9,0,No,4.5,15.2
0,Bangkok,2025-01-23,January,95.5,73.3,0,45,83.2,0,No,6.8,18.6
0,Bangkok,2025-01-24,January,96.8,73.2,0,50,83.8,0,No,5.7,17.7
0,Bangkok,2025-01-25,January,96.4,73,0,62,83.5,0,No,7.7,22.1
0,Bangkok,2025-01-26,January,97.4,74.6,0.008,64,84.7,0.008,Yes,8.8,21.5
0,Bangkok,2025-01-27,January,84.9,72.6,0,48,78.5,0,No,11.3,27.7
0,Bangkok,2025-01-28,January,87.3,71.9,0,44,79.4,0,No,7.9,22.8
0,Bangkok,2025-01-29,January,87.4,70.9,0,46,79.7,0,No,7.3,22.1
0,Bangkok,2025-01-30,January,91.8,71.2,0,47,81.4,0,No,5.5,17.9
0,Bangkok,2025-01-31,January,94.6,71.7,0,50,82.7,0,No,7.4,20.8
0,Bangkok,2025-02-01,February,96.2,73.5,0,53,83.8,0,No,9.1,24.6
0,Bangkok,2025-02-02,February,96.2,73.9,0,59,84.4,0,No,7,21
0,Bangkok,2025-02-03,February,95.5,75,0,64,85,0,No,6.8,19.9
0,Bangkok,2025-02-04,February,93.1,76.7,0.039,59,84.5,0.039,Yes,8,21.9
0,Bangkok,2025-02-05,February,94.9,76.1,0,61,83.8,0,No,6.4,19.7
0,Bangkok,2025-02-06,February,93,76.3,0,68,83.7,0,No,7.1,20.4
0,Bangkok,2025-02-07,February,91.2,76.5,0.004,64,84.5,0.004,Yes,5.6,18.6
