"destination","month","avg_temp_f","avg_high_f","avg_low_f","total_rainfall_in","rainy_days","avg_humidity_pct","avg_max_wind_speed_mph"
"Ayutthaya","January","77.6","88.2","66.6","0","0","50.3","11.2"
"Ayutthaya","February","82.4","93.1","72","3.05","11","61.1","8.6"
"Ayutthaya","March","85","95.6","76.1","3.27","17","64.9","9.5"
"Ayutthaya","April","86","95.8","78.3","4.59","25","71.6","9.1"
"Ayutthaya","May","84.3","93.5","78.2","7.31","29","78.6","8.9"
"Ayutthaya","June","83.5","91.9","78","8.45","29","77.4","10.4"
"Ayutthaya","July","82.4","89.6","77.6","9.21","31","80.4","10.7"
"Ayutthaya","August","83.1","92.2","77.1","10.02","31","76.7","10.1"
"Ayutthaya","September","81.3","88.9","76.4","13.23","30","84.7","8.6"
"Ayutthaya","October","82.6","90.5","76.9","7.35","28","76.9","9.6"
"Ayutthaya","November","79.4","87.3","73.4","3","16","67.4","11.4"
"Ayutthaya","December","80.3","89.4","72.5","0.59","6","61.6","10.3"
"Baan Rak Thai","January","63.6","72.5","56.6","0.18","5","67.2","5.5"
"Baan Rak Thai","February","67.7","78.2","58.9","2.13","7","60.1","6.4"
"Baan Rak Thai","March","72.1","83.8","62.7","0.19","9","54.1","6.9"
"Baan Rak Thai","April","73.2","83.5","65.9","4.27","25","73.2","6.8"
"Baan Rak Thai","May","71.9","80.2","66.9","14.53","31","85.9","6.9"
"Baan Rak Thai","June","70.5","77.4","67.2","14.07","30","92.9","6.9"
"Baan Rak Thai","July","69.7","75.4","67","18.58","31","95.1","6.7"
"Baan Rak Thai","August","70.6","77.6","66.4","12.18","31","90.6","6.3"
"Baan Rak Thai","September","71.2","78.7","66.8","7.48","30","89.3","6.1"
"Baan Rak Thai","October","71.5","79.4","65.7","4.53","24","79.4","5.8"
"Baan Rak Thai","November","66.7","74.7","60.4","6.47","15","77","5.6"
"Baan Rak Thai","December","65","73.6","57.8","0.14","8","70.1","4.9"
"Bangkok","January","81.3","91.5","71","0.01","1","46.4","6.7"
"Bangkok","February","83.7","93.4","74.8","2.32","13","62.4","7.1"
"Bangkok","March","86.3","95.6","79","2.42","16","64.9","7.2"
"Bangkok","April","86.3","94.4","79.9","4.42","26","71.4","7.5"
"Bangkok","May","83.6","90","78.9","9.15","31","82.6","6.5"
"Bangkok","June","83.1","89.9","78.1","7.27","29","79.5","7.3"
"Bangkok","July","82.1","87.9","78","8.54","31","82.5","7.5"
"Bangkok","August","82.7","90","77.4","7.24","27","78.4","7.6"
"Bangkok","September","81.3","87.5","77.2","10.39","30","84.3","6.5"
"Bangkok","October","82","89","76.7","7.52","29","80.5","6.2"
"Bangkok","November","78.9","86.1","72.8","6.32","17","72.8","6.5"
"Bangkok","December","81.8","90.2","73.9","0.36","9","61.4","6.2"
"Chiang Mai","January","69.3","79.4","59.7","0.07","2","69.6","4.8"
"Chiang Mai","February","75.2","86","65.3","2.05","4","63.5","5.6"
"Chiang Mai","March","79.5","90.9","68.4","0.41","6","58.8","5.7"
"Chiang Mai","April","83.4","93.2","74.6","2.35","13","64","7.2"
"Chiang Mai","May","81.7","90.5","75.2","10.68","26","76.2","7"
"Chiang Mai","June","80.5","87.8","74.9","13.28","30","82.5","6.2"
"Chiang Mai","July","79","85","74.4","20.69","31","87","5.5"
"Chiang Mai","August","79.2","86.4","73.8","17.57","31","85.4","5.7"
"Chiang Mai","September","79.1","86.2","73.6","9.43","29","84.5","5.8"
"Chiang Mai","October","79","87","71.8","5.09","25","79.1","5.4"
"Chiang Mai","November","73.4","81.8","66.4","7.06","18","78","6.3"
"Chiang Mai","December","71.9","81.8","62.5","0.55","11","74","4.5"
"Chiang Rai","January","66.7","76.9","56.8","0.17","6","71.2","5.2"
"Chiang Rai","February","72.2","84.1","60.7","0.67","6","68.7","6"
"Chiang Rai","March","75.8","89.3","64","0.3","7","63.9","6.2"
"Chiang Rai","April","79.9","90.8","70.5","2.72","16","70.6","6.9"
