location_id,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,13.743409,100.495865,4.0,0,GMT,GMT
1,18.80492,99.02655,313.0,0,GMT,GMT
2,19.9297,99.8002,397.0,0,GMT,GMT
3,19.578207,97.96223,1141.0,0,GMT,GMT
4,7.908612,98.37031,6.0,0,GMT,GMT
5,8.04921,98.92308,36.0,0,GMT,GMT
6,9.525483,100.02611,443.0,0,GMT,GMT
7,10.087873,99.85977,148.0,0,GMT,GMT
8,12.899824,100.953674,13.0,0,GMT,GMT
9,12.54833,99.92767,11.0,0,GMT,GMT
10,14.376099,100.583336,6.0,0,GMT,GMT

location_id,time,temperature_2m_max (°F),temperature_2m_min (°F),precipitation_sum (inch),relative_humidity_2m_mean (%),temperature_2m_mean (°F),rain_sum (inch),wind_speed_10m_max (mp/h),wind_gusts_10m_max (mp/h)
0,2025-01-01,92.4,72.2,0.000,49,82.1,0.000,4.3,15.0
0,2025-01-02,92.6,71.5,0.000,46,82.7,0.000,6.8,18.6
0,2025-01-03,92.4,72.8,0.000,50,82.5,0.000,7.2,19.0
0,2025-01-04,92.9,72.3,0.000,44,82.6,0.000,4.9,14.8
0,2025-01-05,90.4,69.7,0.000,43,80.5,0.000,6.9,18.1
0,2025-01-06,90.4,68.9,0.000,42,80.2,0.000,4.8,13.9
0,2025-01-07,91.8,69.8,0.000,44,82.0,0.000,4.3,15.7
0,2025-01-08,93.4,73.1,0.000,43,84.3,0.000,5.4,17.4
0,2025-01-09,93.0,74.3,0.000,47,83.9,0.000,8.1,23.0
0,2025-01-10,87.9,71.9,0.000,50,80.9,0.000,9.6,26.4
0,2025-01-11,86.2,67.0,0.000,47,77.3,0.000,9.2,24.8
0,2025-01-12,84.2,65.7,0.000,46,74.2,0.000,7.1,16.8
0,2025-01-13,84.9,65.3,0.000,43,75.4,0.000,5.4,16.1
0,2025-01-14,88.6,65.3,0.000,42,77.9,0.000,7.0,16.6
0,2025-01-15,94.2,69.1,0.000,46,83.2,0.000,9.4,24.6
0,2025-01-16,91.2,73.8,0.000,48,82.5,0.000,7.9,19.9
0,2025-01-17,90.1,71.6,0.000,45,81.0,0.000,8.3,19.9
0,2025-01-18,92.8,70.2,0.000,40,81.5,0.000,6.1,18.8
0,2025-01-19,92.4,69.5,0.000,39,81.7,0.000,5.0,15.9
0,2025-01-20,93.5,70.7,0.000,42,82.0,0.000,3.2,12.8
0,2025-01-21,93.5,71.9,0.000,44,82.2,0.000,4.6,15.9
0,2025-01-22,94.4,71.8,0.000,43,82.9,0.000,4.5,15.2
0,2025-01-23,95.5,73.3,0.000,45,83.2,0.000,6.8,18.6
0,2025-01-24,96.8,73.2,0.000,50,83.8,0.000,5.7,17.7
0,2025-01-25,96.4,73.0,0.000,62,83.5,0.000,7.7,22.1
0,2025-01-26,97.4,74.6,0.008,64,84.7,0.008,8.8,21.5
0,2025-01-27,84.9,72.6,0.000,48,78.5,0.000,11.3,27.7
0,2025-01-28,87.3,71.9,0.000,44,79.4,0.000,7.9,22.8
0,2025-01-29,87.4,70.9,0.000,46,79.7,0.000,7.3,22.1
0,2025-01-30,91.8,71.2,0.000,47,81.4,0.000,5.5,17.9
0,2025-01-31,94.6,71.7,0.000,50,82.7,0.000,7.4,20.8
0,2025-02-01,96.2,73.5,0.000,53,83.8,0.000,9.1,24.6
0,2025-02-02,96.2,73.9,0.000,59,84.4,0.000,7.0,21.0
0,2025-02-03,95.5,75.0,0.000,64,85.0,0.000,6.8,19.9
0,2025-02-04,93.1,76.7,0.039,59,84.5,0.039,8.0,21.9
0,2025-02-05,94.9,76.1,0.000,61,83.8,0.000,6.4,19.7
0,2025-02-06,93.0,76.3,0.000,68,83.7,0.000,7.1,20.4
0,2025-02-07,91.2,76.5,0.004,64,84.5,0.004,5.6,18.6
0,2025-02-08,94.0,75.2,0.000,45,85.2,0.000,8.4,23.7
0,2025-02-09,90.6,72.6,0.000,44,81.9,0.000,8.7,24.6
0,2025-02-10,92.9,72.2,0.000,44,82.8,0.000,4.1,15.7
0,2025-02-11,96.8,73.0,0.000,42,85.1,0.000,4.1,13.6
0,2025-02-12,99.3,74.4,0.000,42,86.8,0.000,8.0,21.5
0,2025-02-13,98.2,76.9,0.000,54,86.8,0.000,9.3,25.1
0,2025-02-14,95.1,77.0,0.000,66,84.9,0.000,6.6,19.5
0,2025-02-15,98.6,77.0,0.000,53,86.9,0.000,7.1,20.4
0,2025-02-16,99.1,77.5,0.000,62,86.7,0.000,9.4,25.3
0,2025-02-17,89.8,77.4,0.181,74,83.5,0.181,8.2,20.8
0,2025-02-18,89.4,73.0,0.689,78,81.0,0.689,7.2,21.7
0,2025-02-19,90.2,73.0,0.406,82,80.1,0.406,5.2,20.6
0,2025-02-20,90.2,73.9,0.020,74,82.9,0.020,5.7,15.0
0,2025-02-21,90.3,73.7,0.209,80,81.1,0.209,8.1,23.3
0,2025-02-22,94.6,74.4,0.071,67,84.2,0.071,7.7,16.3
0,2025-02-23,96.6,76.3,0.197,63,85.5,0.197,8.3,23.5
0,2025-02-24,82.2,73.6,0.394,80,77.3,0.394,6.5,22.4
0,2025-02-25,83.9,71.4,0.059,74,76.9,0.059,8.4,18.6
0,2025-02-26,90.8,71.2,0.000,66,82.0,0.000,5.5,17.4
0,2025-02-27,95.0,75.3,0.004,62,85.6,0.004,5.6,17.7
0,2025-02-28,97.1,78.3,0.047,67,86.1,0.047,6.3,20.6
0,2025-03-01,94.1,79.6,0.004,73,85.8,0.004,6.6,19.2
0,2025-03-02,96.1,80.7,0.000,71,86.7,0.000,7.1,20.1
0,2025-03-03,94.2,81.3,0.000,72,86.4,0.000,7.9,23.0
0,2025-03-04,94.5,81.0,0.000,68,86.4,0.000,8.2,23.7
0,2025-03-05,96.1,80.1,0.000,72,86.4,0.000,7.1,20.4
0,2025-03-06,95.0,80.6,0.000,71,86.3,0.000,7.7,21.7
0,2025-03-07,92.7,75.5,0.283,79,81.0,0.283,9.7,26.8
0,2025-03-08,91.0,74.9,0.000,69,82.0,0.000,7.5,20.1
0,2025-03-09,93.7,74.8,0.000,58,85.4,0.000,6.0,18.3
0,2025-03-10,98.1,78.6,0.000,50,89.9,0.000,7.0,21.0
